----------------------  実行情報  ----------------------
実行時間＝1190秒
個体数＝1000
合計世代数＝519
------------------------  前提  ------------------------

waste=kanen

ごみ量30位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736), 幕別町 (4414), 新ひだか町 (4277), 釧路町 (4090), 美幌町 (4063), 白老町 (3395)

焼却施設数: 19
中継施設数: 1

輸送単価＝ 300 円/t/km
--------------------  GAPlot_input  --------------------

inc_size= [1247, 264, 243, 224, 173, 125, 121, 71, 25, 20, 19, 18, 15, 5, 4, 3, 0, 0, 0]
inc_facility = ['札幌市', '旭川市', '函館市', '苫小牧市', '帯広市', '釧路市', '室蘭市', '北見市', '中標津町', '稚内市', '紋別市', '網走市', '根室市', '枝幸町', '羽幌町', '清里町', '天塩町', '豊富町', '斜里町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '喜茂別町', '京極町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '俱知安町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '幌加内町'], ['留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村'], ['中川町', '遠別町', '天塩町'], ['稚内市', '猿払村'], ['美深町', '音威子府村', '浜頓別町', '中頓別町', '枝幸町'], ['豊富町', '幌延町'], ['北見市', '美幌町', '津別町', '訓子府町', '置戸町', '佐呂間町', '陸別町'], ['網走市', '大空町'], ['下川町', '紋別市', '遠軽町', '湧別町', '滝上町', '興部町', '西興部村', '雄武町'], ['清里町', '小清水町'], ['斜里町'], ['様似町', 'えりも町', '南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '根室市'], ['弟子屈町', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[0]
trans_facility = ['豊富町']
trans_blocks = [[]]

arrows = []


---------------------  コスト情報  ---------------------

==============================
Total cost: 1241957.5762505876
==============================
TC_direct: {'札幌市': 107750.56481999999, '旭川市': 42552.619679999996, '函館市': 33495.620160000006, '苫小牧市': 48106.58742, '帯広市': 25443.31968, '釧路市': 5221.74414, '室蘭市': 20651.749350000002, '北見市': 3884.2622400000005, '中標津町': 4303.57125, '稚内市': 414.44694, '紋別市': 4728.88734, '網走市': 147.4998, '根室市': 1239.6003600000001, '枝幸町': 1045.82358, '羽幌町': 1272.45615, '清里町': 226.16403000000003, '天塩町': 29.62869, '豊富町': 11.25, '斜里町': 0.0}
IC_inc: {'札幌市': 159613.1891114947, '旭川市': 47610.12317327669, '函館市': 44807.04482740549, '苫小牧市': 42283.88188243283, '帯広市': 35003.50835214785, '釧路市': 27746.089065790613, '室蘭市': 27114.20586589729, '北見市': 18430.976284856057, '中標津町': 8650.768684366207, '稚内市': 7480.976141758512, '紋別市': 7200.832989673019, '網走市': 6874.331429870022, '根室市': 5977.738680892802, '枝幸町': 2864.8282273605105, '羽幌町': 2343.3210783489885, '清里町': 1692.3279700197322, '天塩町': 240.53935274588486, '豊富町': 223.79345071050665, '斜里町': 0.0}
OC_inc: {'札幌市': 66833.21738291832, '旭川市': 56964.87608199606, '函館市': 56407.36772522112, '苫小牧市': 55611.63687040698, '帯広市': 51724.01573343067, '釧路市': 45433.20587338103, '室蘭市': 44768.76962017755, '北見市': 33706.6804923292, '中標津町': 16951.74467757078, '稚内市': 14666.030284542983, '紋別市': 14111.180441229597, '網走市': 13461.115817412458, '根室市': 11658.634045924002, '枝幸町': 5283.8584016245995, '羽幌町': 4222.047478362802, '清里町': 2918.6885183885533, '天塩町': 287.25227583165207, '豊富町': 262.9823307915868, '斜里町': 0.0}

TC_indirect: {'豊富町': 0}
IC_trans: {'豊富町': 0}
OC_trans: {'豊富町': 0}


----------------------  輸送情報  ----------------------

direct 札幌市(1247/1247) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 旭川市(264/264) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 幌加内町
direct 函館市(243/243) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 苫小牧市(224/224) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 帯広市(173/173) t/day → receive from: 様似町, えりも町, 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 室蘭市(121/121) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
direct 北見市(71/71) t/day → receive from: 北見市, 美幌町, 津別町, 訓子府町, 置戸町, 佐呂間町, 陸別町
direct 中標津町(25/25) t/day → receive from: 弟子屈町, 別海町, 中標津町, 標津町, 羅臼町
direct 稚内市(20/20) t/day → receive from: 稚内市, 猿払村
direct 紋別市(19/19) t/day → receive from: 下川町, 紋別市, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町
direct 網走市(18/18) t/day → receive from: 網走市, 大空町
direct 根室市(15/15) t/day → receive from: 浜中町, 根室市
direct 枝幸町(5/5) t/day → receive from: 美深町, 音威子府村, 浜頓別町, 中頓別町, 枝幸町
direct 羽幌町(4/4) t/day → receive from: 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村
direct 清里町(3/3) t/day → receive from: 清里町, 小清水町
236: neval=776{'avg': 1246660.748066233, 'max': 1537905.9632898872, 'min': 1244755.9293797796} best=1242822.3790797843
237: neval=789{'avg': 1247015.03897386, 'max': 1661279.0662287078, 'min': 1244755.9293797796} best=1242822.3790797843
238: neval=761{'avg': 1246341.6116151742, 'max': 1723251.1048726423, 'min': 1244755.9293797796} best=1242822.3790797843
239: neval=805{'avg': 1247463.426878356, 'max': 1674771.2476314753, 'min': 1244755.9293797796} best=1242822.3790797843
240: neval=778{'avg': 1245561.9309201094, 'max': 1422270.3800469092, 'min': 1244755.9293797796} best=1242822.3790797843
241: neval=783{'avg': 1246476.3267811313, 'max': 1773520.8604608038, 'min': 1244755.9293797796} best=1242822.3790797843
242: neval=785{'avg': 1246573.5239866483, 'max': 1571945.7780241375, 'min': 1244755.9293797796} best=1242822.3790797843
243: neval=796{'avg': 1246079.6500449707, 'max': 1525219.5180273028, 'min': 1244755.9293797796} best=1242822.3790797843
244: neval=786{'avg': 1246120.1989896698, 'max': 1523815.7552015036, 'min': 1244755.9293797796} best=1242822.3790797843
245: neval=794{'avg': 1246843.0117555447, 'max': 1569613.749117251, 'min': 1244755.9293797796} best=1242822.3790797843
246: neval=797{'avg': 1247361.0019818044, 'max': 1737679.908827714, 'min': 1244755.9293797796} best=1242822.3790797843
247: neval=789{'avg': 1246979.0700960879, 'max': 1610531.5889745872, 'min': 1244755.9293797796} best=1242822.3790797843
248: neval=772{'avg': 1247000.5402901636, 'max': 1573671.6389306586, 'min': 1244755.9293797796} best=1242822.3790797843
249: neval=753{'avg': 1245719.5742750673, 'max': 1540788.3943853425, 'min': 1244755.9293797796} best=1242822.3790797843
250: neval=792{'avg': 1245481.841062449, 'max': 1657536.6237374095, 'min': 1244755.9293797796} best=1242822.3790797843
251: neval=802{'avg': 1245361.700516221, 'max': 1610385.1794097768, 'min': 1244755.9293797796} best=1242822.3790797843
252: neval=808{'avg': 1246797.8653314298, 'max': 1581058.4279995405, 'min': 1244755.9293797796} best=1242822.3790797843
253: neval=797{'avg': 1245974.524805155, 'max': 1972689.3401138564, 'min': 1244755.9293797796} best=1242822.3790797843
254: neval=796{'avg': 1245357.1626575566, 'max': 1409291.074630092, 'min': 1244755.9293797796} best=1242822.3790797843
255: neval=803{'avg': 1245976.9689502674, 'max': 1559414.5801741425, 'min': 1244755.9293797796} best=1242822.3790797843
256: neval=766{'avg': 1246710.503131404, 'max': 1477977.0008957316, 'min': 1244755.9293797796} best=1242822.3790797843
257: neval=788{'avg': 1246560.8649017252, 'max': 1509672.6577643945, 'min': 1244755.9293797796} best=1242822.3790797843
258: neval=784{'avg': 1246802.9435195113, 'max': 1498511.8675672635, 'min': 1244755.9293797796} best=1242822.3790797843
259: neval=791{'avg': 1245814.1085450496, 'max': 1797624.3691148805, 'min': 1244755.9293797796} best=1242822.3790797843
260: neval=775{'avg': 1245952.161385797, 'max': 1565355.6189668083, 'min': 1244755.9293797796} best=1242822.3790797843
261: neval=798{'avg': 1245750.038934319, 'max': 1472312.2600267988, 'min': 1244755.9293797796} best=1242822.3790797843
262: neval=800{'avg': 1245033.4624098677, 'max': 1348781.2869439505, 'min': 1244755.9293797796} best=1242822.3790797843
263: neval=802{'avg': 1245303.6190337297, 'max': 1398803.7073470075, 'min': 1244755.9293797796} best=1242822.3790797843
264: neval=778{'avg': 1245290.72259898, 'max': 1608259.2479267078, 'min': 1244755.9293797796} best=1242822.3790797843
265: neval=772{'avg': 1245892.1247875097, 'max': 1647023.2154847183, 'min': 1244755.9293797796} best=1242822.3790797843
266: neval=815{'avg': 1247033.9067958798, 'max': 1670558.2014317517, 'min': 1244755.9293797796} best=1242822.3790797843
267: neval=792{'avg': 1246074.647108754, 'max': 1897304.0575973694, 'min': 1244755.9293797796} best=1242822.3790797843
268: neval=793{'avg': 1246864.2916089878, 'max': 1821302.139546587, 'min': 1244755.9293797796} best=1242822.3790797843
269: neval=763{'avg': 1246354.5747304526, 'max': 1828979.9464963917, 'min': 1244755.9293797796} best=1242822.3790797843
270: neval=750{'avg': 1245454.833103112, 'max': 1497902.0761790446, 'min': 1244755.9293797796} best=1242822.3790797843
271: neval=787{'avg': 1245242.426090888, 'max': 1455164.3120742075, 'min': 1244755.9293797796} best=1242822.3790797843
272: neval=780{'avg': 1246531.3121337919, 'max': 1522721.361014782, 'min': 1244755.9293797796} best=1242822.3790797843
273: neval=765{'avg': 1245654.36151265, 'max': 1430939.370504653, 'min': 1244755.9293797796} best=1242822.3790797843
274: neval=756{'avg': 1245779.405079399, 'max': 1482996.4779923847, 'min': 1244755.9293797796} best=1242822.3790797843
275: neval=806{'avg': 1245653.1116429195, 'max': 1502137.1845824914, 'min': 1244755.9293797796} best=1242822.3790797843
276: neval=799{'avg': 1245784.074799177, 'max': 1551285.1485382144, 'min': 1244755.9293797796} best=1242822.3790797843
277: neval=790{'avg': 1245438.9168300552, 'max': 1577340.6371950165, 'min': 1244755.9293797796} best=1242822.3790797843
278: neval=778{'avg': 1245268.2025769367, 'max': 1499933.015998376, 'min': 1244755.9293797796} best=1242822.3790797843
279: neval=776{'avg': 1245657.349365736, 'max': 1457354.5659883136, 'min': 1244755.9293797796} best=1242822.3790797843
280: neval=792{'avg': 1247661.1248864462, 'max': 2092492.7416039044, 'min': 1244755.9293797796} best=1242822.3790797843
281: neval=805{'avg': 1247348.7952766125, 'max': 1813627.9800321169, 'min': 1244755.9293797796} best=1242822.3790797843
282: neval=779{'avg': 1246015.4352127844, 'max': 1478006.589137561, 'min': 1244755.9293797796} best=1242822.3790797843
283: neval=773{'avg': 1246256.7522130285, 'max': 1807942.8920724685, 'min': 1244755.9293797796} best=1242822.3790797843
284: neval=771{'avg': 1247170.724631466, 'max': 2164105.2209396185, 'min': 1244755.9293797796} best=1242822.3790797843
285: neval=785{'avg': 1245327.4147758516, 'max': 1447063.2140938828, 'min': 1244755.9293797796} best=1242822.3790797843
286: neval=794{'avg': 1244869.6915002775, 'max': 1315481.8017492793, 'min': 1244755.9293797796} best=1242822.3790797843
287: neval=790{'avg': 1246616.9273555106, 'max': 1876175.5601779998, 'min': 1244755.9293797796} best=1242822.3790797843
288: neval=780{'avg': 1247463.1784952679, 'max': 1629356.800766325, 'min': 1244755.9293797796} best=1242822.3790797843
289: neval=783{'avg': 1246751.4444361462, 'max': 1671352.3231067173, 'min': 1244648.1355097797} best=1242822.3790797843
290: neval=813{'avg': 1246168.0748104854, 'max': 1553002.7400553946, 'min': 1244648.1355097797} best=1242822.3790797843
291: neval=792{'avg': 1246567.7852928988, 'max': 1485834.8747262275, 'min': 1241957.5762505876} best=1241957.5762505876
292: neval=792{'avg': 1246418.0198205472, 'max': 1757681.784672474, 'min': 1244648.1355097797} best=1241957.5762505876
293: neval=793{'avg': 1246452.3649619564, 'max': 1658826.9958121069, 'min': 1244648.1355097797} best=1241957.5762505876
294: neval=773{'avg': 1246856.388010414, 'max': 1568997.9083765803, 'min': 1244648.1355097797} best=1241957.5762505876
295: neval=770{'avg': 1246310.0660662241, 'max': 1744718.5367177865, 'min': 1244648.1355097797} best=1241957.5762505876
296: neval=806{'avg': 1245652.4593314414, 'max': 1485026.0428498494, 'min': 1244648.1355097797} best=1241957.5762505876
297: neval=781{'avg': 1246717.7014075017, 'max': 1832501.9975040036, 'min': 1244648.1355097797} best=1241957.5762505876
298: neval=800{'avg': 1246079.1792796168, 'max': 1548986.473786069, 'min': 1244648.1355097797} best=1241957.5762505876
299: neval=777{'avg': 1245619.3369166995, 'max': 1560465.6126749867, 'min': 1244648.1355097797} best=1241957.5762505876
300: neval=818{'avg': 1246027.0295401602, 'max': 1505692.0138139683, 'min': 1244648.1355097797} best=1241957.5762505876
301: neval=759{'avg': 1245703.5068473602, 'max': 1550542.6556289194, 'min': 1244648.1355097797} best=1241957.5762505876
302: neval=786{'avg': 1246983.8787558747, 'max': 2038396.879397697, 'min': 1244648.1355097797} best=1241957.5762505876
303: neval=796{'avg': 1246071.0661893832, 'max': 1499892.9493322745, 'min': 1244648.1355097797} best=1241957.5762505876
304: neval=793{'avg': 1244884.3659118302, 'max': 1311778.4489269913, 'min': 1244648.1355097797} best=1241957.5762505876
305: neval=800{'avg': 1246107.4378750287, 'max': 1879570.6638574165, 'min': 1244648.1355097797} best=1241957.5762505876
306: neval=794{'avg': 1247440.7123509345, 'max': 2135830.1885912465, 'min': 1244648.1355097797} best=1241957.5762505876
307: neval=814{'avg': 1245670.9262707196, 'max': 1610247.1979647742, 'min': 1244648.1355097797} best=1241957.5762505876
308: neval=815{'avg': 1245466.1425445848, 'max': 1685950.1587726518, 'min': 1244648.1355097797} best=1241957.5762505876
309: neval=779{'avg': 1246187.4645192972, 'max': 1529679.901078304, 'min': 1244648.1355097797} best=1241957.5762505876
310: neval=792{'avg': 1246171.3679657707, 'max': 1612328.7408857716, 'min': 1244648.1355097797} best=1241957.5762505876
311: neval=786{'avg': 1247676.3011275106, 'max': 1855693.4785360594, 'min': 1244648.1355097797} best=1241957.5762505876
312: neval=813{'avg': 1246452.9426364554, 'max': 1541134.382204537, 'min': 1244648.1355097797} best=1241957.5762505876
313: neval=813{'avg': 1247250.3010993628, 'max': 1713053.4659601299, 'min': 1244648.1355097797} best=1241957.5762505876
314: neval=792{'avg': 1246295.796112677, 'max': 1668050.5118709372, 'min': 1244648.1355097797} best=1241957.5762505876
315: neval=781{'avg': 1245498.2556971384, 'max': 1450177.7134889879, 'min': 1244648.1355097797} best=1241957.5762505876
316: neval=795{'avg': 1246549.3345760545, 'max': 1595442.5973360762, 'min': 1244648.1355097797} best=1241957.5762505876
317: neval=777{'avg': 1246184.3603382001, 'max': 1562768.3330854827, 'min': 1244648.1355097797} best=1241957.5762505876
318: neval=798{'avg': 1246329.812153196, 'max': 2009168.6774267994, 'min': 1244427.329274349} best=1241957.5762505876
319: neval=779{'avg': 1245192.8869652653, 'max': 1442911.450836157, 'min': 1244427.329274349} best=1241957.5762505876
320: neval=790{'avg': 1245587.7865684396, 'max': 1479953.3752783411, 'min': 1244427.329274349} best=1241957.5762505876
321: neval=772{'avg': 1244799.8557762436, 'max': 1414253.707043543, 'min': 1244427.329274349} best=1241957.5762505876
322: neval=766{'avg': 1245665.8362612184, 'max': 1701979.1652250886, 'min': 1244427.329274349} best=1241957.5762505876
323: neval=812{'avg': 1246268.4400912998, 'max': 1652720.666717307, 'min': 1244427.329274349} best=1241957.5762505876
324: neval=815{'avg': 1246265.9738756206, 'max': 1726975.8149656865, 'min': 1244427.329274349} best=1241957.5762505876
325: neval=768{'avg': 1247380.2833457084, 'max': 1720108.093762666, 'min': 1244427.329274349} best=1241957.5762505876
326: neval=798{'avg': 1245719.1793429307, 'max': 1519207.1247249574, 'min': 1244427.329274349} best=1241957.5762505876
327: neval=799{'avg': 1245010.5169686298, 'max': 1439524.8359396083, 'min': 1244427.329274349} best=1241957.5762505876
328: neval=789{'avg': 1246513.3199739498, 'max': 1732364.5233109635, 'min': 1244427.329274349} best=1241957.5762505876
329: neval=791{'avg': 1245892.9333789286, 'max': 1642396.5898881725, 'min': 1244427.329274349} best=1241957.5762505876
330: neval=812{'avg': 1245714.1242670158, 'max': 1502406.5428879454, 'min': 1244427.329274349} best=1241957.5762505876
331: neval=803{'avg': 1245577.898719349, 'max': 1488585.5071277344, 'min': 1244427.329274349} best=1241957.5762505876
332: neval=824{'avg': 1246651.962887645, 'max': 1679900.153359831, 'min': 1244427.329274349} best=1241957.5762505876
333: neval=793{'avg': 1245257.318228848, 'max': 1633906.9533081595, 'min': 1244427.329274349} best=1241957.5762505876
334: neval=825{'avg': 1247548.4869850671, 'max': 1701138.0524076014, 'min': 1244427.329274349} best=1241957.5762505876
335: neval=800{'avg': 1246375.1270925407, 'max': 1905591.1559392358, 'min': 1244427.329274349} best=1241957.5762505876
336: neval=816{'avg': 1246550.8677410574, 'max': 1680934.0035796687, 'min': 1244427.329274349} best=1241957.5762505876
337: neval=813{'avg': 1245908.4284147038, 'max': 1570500.925315043, 'min': 1244427.329274349} best=1241957.5762505876
338: neval=824{'avg': 1246410.5669726846, 'max': 1868789.1031730361, 'min': 1244427.329274349} best=1241957.5762505876
339: neval=776{'avg': 1245813.428599609, 'max': 1930868.8799818384, 'min': 1244427.329274349} best=1241957.5762505876
340: neval=796{'avg': 1244669.600925324, 'max': 1486698.9802492026, 'min': 1244427.329274349} best=1241957.5762505876
341: neval=787{'avg': 1246813.3826050232, 'max': 1817555.0685252394, 'min': 1244427.329274349} best=1241957.5762505876
342: neval=788{'avg': 1245277.9053308433, 'max': 1519175.1760132022, 'min': 1244427.329274349} best=1241957.5762505876
343: neval=808{'avg': 1246259.295989951, 'max': 1618190.6006952128, 'min': 1244427.329274349} best=1241957.5762505876
344: neval=778{'avg': 1245757.461145539, 'max': 1427290.8987656026, 'min': 1244427.329274349} best=1241957.5762505876
345: neval=771{'avg': 1245002.4032402392, 'max': 1463372.618531278, 'min': 1244427.329274349} best=1241957.5762505876
346: neval=813{'avg': 1245150.287578981, 'max': 1514829.1162105193, 'min': 1244427.329274349} best=1241957.5762505876
347: neval=778{'avg': 1246783.1505318899, 'max': 1595086.6737079069, 'min': 1244427.329274349} best=1241957.5762505876
348: neval=806{'avg': 1247527.7797411222, 'max': 1788624.20919597, 'min': 1244427.329274349} best=1241957.5762505876
349: neval=822{'avg': 1247188.7347153039, 'max': 1614751.1457235683, 'min': 1244427.329274349} best=1241957.5762505876
350: neval=769{'avg': 1245523.6418227458, 'max': 1489876.0239479244, 'min': 1244427.329274349} best=1241957.5762505876
351: neval=789{'avg': 1245933.8316750263, 'max': 1827255.8732406946, 'min': 1244427.329274349} best=1241957.5762505876
352: neval=778{'avg': 1245748.4325550175, 'max': 1551895.6636747005, 'min': 1244427.329274349} best=1241957.5762505876
353: neval=810{'avg': 1246276.7383775348, 'max': 1679732.182747521, 'min': 1244427.329274349} best=1241957.5762505876
354: neval=775{'avg': 1245225.4005710336, 'max': 1469496.333816885, 'min': 1244427.329274349} best=1241957.5762505876
355: neval=784{'avg': 1245494.4421305393, 'max': 1563915.4569427897, 'min': 1244427.329274349} best=1241957.5762505876
356: neval=785{'avg': 1246825.4135334, 'max': 1742313.267614025, 'min': 1244427.329274349} best=1241957.5762505876
357: neval=788{'avg': 1245474.1313428895, 'max': 1625005.2648812858, 'min': 1244427.329274349} best=1241957.5762505876
358: neval=799{'avg': 1245945.4042030305, 'max': 1667378.1735693875, 'min': 1244427.329274349} best=1241957.5762505876
359: neval=801{'avg': 1245581.7699596784, 'max': 1455725.4574388948, 'min': 1244427.329274349} best=1241957.5762505876
360: neval=794{'avg': 1245435.6700651415, 'max': 1522269.2547304425, 'min': 1244427.329274349} best=1241957.5762505876
361: neval=795{'avg': 1245182.3897201414, 'max': 1409956.6327741938, 'min': 1244427.329274349} best=1241957.5762505876
362: neval=785{'avg': 1247017.6823903094, 'max': 1815444.3466853073, 'min': 1244427.329274349} best=1241957.5762505876
363: neval=774{'avg': 1245627.4399660467, 'max': 1457770.9850566522, 'min': 1244427.329274349} best=1241957.5762505876
364: neval=774{'avg': 1245911.4152515435, 'max': 1575024.7726759692, 'min': 1244427.329274349} best=1241957.5762505876
365: neval=791{'avg': 1244727.150663431, 'max': 1451005.7762308307, 'min': 1244427.329274349} best=1241957.5762505876
366: neval=789{'avg': 1245290.7898815633, 'max': 1420363.639716369, 'min': 1244427.329274349} best=1241957.5762505876
367: neval=762{'avg': 1245797.4667558628, 'max': 1471966.4362749746, 'min': 1244427.329274349} best=1241957.5762505876
368: neval=754{'avg': 1245325.9520104988, 'max': 1452871.1577480957, 'min': 1244427.329274349} best=1241957.5762505876
369: neval=832{'avg': 1245155.407437554, 'max': 1418717.4719815077, 'min': 1244427.329274349} best=1241957.5762505876
370: neval=793{'avg': 1245500.1287101216, 'max': 1533563.6534187593, 'min': 1244427.329274349} best=1241957.5762505876
371: neval=797{'avg': 1245894.313109437, 'max': 1694957.1415142515, 'min': 1244427.329274349} best=1241957.5762505876
372: neval=791{'avg': 1245759.07495922, 'max': 1580394.3084144848, 'min': 1244427.329274349} best=1241957.5762505876
373: neval=794{'avg': 1246369.5506548735, 'max': 1764019.007049737, 'min': 1244427.329274349} best=1241957.5762505876
374: neval=761{'avg': 1245212.1068363553, 'max': 1420053.623675827, 'min': 1244427.329274349} best=1241957.5762505876
375: neval=767{'avg': 1245462.18461745, 'max': 1538899.7428261514, 'min': 1244427.329274349} best=1241957.5762505876
376: neval=780{'avg': 1245972.5278491664, 'max': 1566334.2268471317, 'min': 1244427.329274349} best=1241957.5762505876
377: neval=821{'avg': 1245086.1884942008, 'max': 1454964.5530272427, 'min': 1244427.329274349} best=1241957.5762505876
378: neval=803{'avg': 1245824.202343442, 'max': 1654088.2798141802, 'min': 1244427.329274349} best=1241957.5762505876
379: neval=812{'avg': 1245727.2625176895, 'max': 1499532.930986506, 'min': 1244427.329274349} best=1241957.5762505876
380: neval=760{'avg': 1245999.2477805275, 'max': 1536614.5403739852, 'min': 1244427.329274349} best=1241957.5762505876
381: neval=802{'avg': 1247366.2078813678, 'max': 1561768.6105246753, 'min': 1244427.329274349} best=1241957.5762505876
382: neval=784{'avg': 1246514.2723566422, 'max': 1678689.2391826762, 'min': 1244427.329274349} best=1241957.5762505876
383: neval=783{'avg': 1245966.4711811421, 'max': 1637218.4881536202, 'min': 1244427.329274349} best=1241957.5762505876
384: neval=781{'avg': 1245635.6417333048, 'max': 1483793.726124957, 'min': 1244427.329274349} best=1241957.5762505876
385: neval=806{'avg': 1245252.8387923697, 'max': 1491920.410031931, 'min': 1244427.329274349} best=1241957.5762505876
386: neval=803{'avg': 1244606.7616106754, 'max': 1324056.3213411956, 'min': 1244427.329274349} best=1241957.5762505876
387: neval=803{'avg': 1246226.2482602906, 'max': 1795628.035380173, 'min': 1244427.329274349} best=1241957.5762505876
388: neval=770{'avg': 1246024.8817261118, 'max': 1479472.4032092162, 'min': 1244427.329274349} best=1241957.5762505876
389: neval=767{'avg': 1244745.0969517443, 'max': 1456179.2809770997, 'min': 1244427.329274349} best=1241957.5762505876
390: neval=796{'avg': 1244837.640277562, 'max': 1376945.5652160535, 'min': 1244427.329274349} best=1241957.5762505876
391: neval=788{'avg': 1245450.8125403377, 'max': 1502598.5428665108, 'min': 1244427.329274349} best=1241957.5762505876
392: neval=778{'avg': 1245007.3697677064, 'max': 1524127.2324338024, 'min': 1244427.329274349} best=1241957.5762505876
393: neval=786{'avg': 1245846.7208692848, 'max': 1563559.4924165779, 'min': 1244427.329274349} best=1241957.5762505876
394: neval=784{'avg': 1245869.9331622475, 'max': 1489346.6629772163, 'min': 1244427.329274349} best=1241957.5762505876
395: neval=787{'avg': 1245308.5141318478, 'max': 1409750.6871822565, 'min': 1244427.329274349} best=1241957.5762505876
396: neval=799{'avg': 1247102.1498907872, 'max': 1602625.3411690006, 'min': 1244427.329274349} best=1241957.5762505876
397: neval=766{'avg': 1245813.9659000654, 'max': 1704095.227457108, 'min': 1244427.329274349} best=1241957.5762505876
398: neval=773{'avg': 1245943.1367991604, 'max': 1554673.8830089606, 'min': 1244427.329274349} best=1241957.5762505876
399: neval=796{'avg': 1246977.7090389798, 'max': 2027323.2827042323, 'min': 1244427.329274349} best=1241957.5762505876
400: neval=783{'avg': 1245256.1804979655, 'max': 1566016.3206150038, 'min': 1244427.329274349} best=1241957.5762505876
401: neval=797{'avg': 1246339.4974233552, 'max': 1617353.672025871, 'min': 1244427.329274349} best=1241957.5762505876
402: neval=797{'avg': 1245334.852114253, 'max': 1448127.9824621785, 'min': 1244427.329274349} best=1241957.5762505876
